  5.915	      1
  6.280	      8
  7.399	      2
  6.963	     12
  6.111	     14
  5.907	     13
  6.186	      3
  6.841	     15
  6.650	     14
  7.020	     12
  7.831	     14
  6.619	      2
  6.011	      9
  8.611	     13
  8.076	      3
  8.211	     11
  6.796	      7
  7.569	      8
  6.163	      4
  7.884	      4
  6.550	      7
  7.645	     11
  6.451	      6
  7.489	      7
  7.706	     14
  6.917	      9
  5.740	      9
  5.443	      8
  6.634	      1
  9.397	      9
  7.421	      7
  6.859	     11
  5.285	      7
  6.590	     14
  7.468	     11
  5.120	      7
  6.787	      7
  7.413	      3
  5.416	      6
  5.069	      6
  5.983	      5
  5.704	     12
  7.076	     10
  9.365	      3
  7.812	      3
  5.754	      2
  6.036	      5
  8.701	      9
  6.688	      3
  8.452	      8
  7.879	     10
  8.126	     15
  6.986	      3
  7.620	      4
  6.024	      1
  7.420	     13
  7.167	      6
  8.070	     11
  5.867	      8
  6.834	     13
  8.247	     11
  8.267	     13
  8.236	      9
  7.119	      3
  8.295	      6
  6.577	      1
  9.008	     14
  7.021	     15
  6.522	      3
  8.329	     15
  7.060	     12
  8.103	      3
  6.898	     12
