  2.662	      4
  1.977	     13
  1.539	     12
  1.113	     10
  2.363	      9
  1.306	     10
  1.745	     13
  4.284	     11
  2.964	      6
  2.554	      7
  1.956	      1
  4.646	      2
  2.879	     15
  1.034	     11
  3.120	      1
 -0.246	      9
  0.991	      5
  0.946	      3
  1.919	     12
  1.932	      1
  1.754	     11
  4.835	     13
  1.266	     14
  2.706	     12
  2.280	      2
  0.795	      1
 -0.220	     11
  1.475	     10
  2.598	     10
  3.136	     14
  3.580	      6
  3.095	     12
  1.902	     12
  2.098	     12
  2.051	      7
  0.491	      6
  1.394	     15
  2.777	      7
 -0.144	      9
  1.529	      6
  1.350	      4
  2.859	      8
  3.319	     14
  2.062	      3
  1.187	     12
  2.719	      2
  1.831	      2
  2.960	      3
  2.707	      6
  2.005	      4
  3.036	      3
  3.059	      3
  1.976	      8
  2.572	      4
  1.246	      4
  0.194	      9
  3.847	      2
  2.152	      7
  2.997	     11
  2.139	      3
  3.327	      1
  0.088	     13
  1.162	     13
  0.789	      5
  1.418	      7
  2.877	      6
  1.683	     15
  2.019	     10
