  1.994	      2
  3.184	      9
  2.955	      8
  2.658	     13
  2.419	     11
  3.278	      1
  1.853	      1
  2.848	      6
  1.810	      2
  2.389	      5
  2.984	      5
  3.872	      7
  0.841	      6
  4.167	     15
  1.310	      7
  3.756	      5
  1.270	      1
  2.651	     10
  3.565	      6
  3.696	     15
  2.704	      7
  3.480	     15
  2.140	      7
  2.580	      2
  4.248	     13
  2.592	      9
  1.403	      3
  1.171	     10
  3.928	      5
  3.690	      6
  3.401	      1
  4.587	      2
  3.469	      5
  1.730	     14
  4.231	     10
  4.304	      3
  3.274	      9
  3.229	     11
  2.802	      3
  2.333	      7
  3.860	     14
  3.486	     10
  2.193	     12
  0.946	      1
  4.092	      5
  0.104	      7
  3.989	      2
  2.411	      9
  4.223	     13
  2.962	      7
  3.158	      9
  4.286	      2
  3.070	      5
  1.846	     10
  2.393	     15
  3.943	     11
  2.983	      7
  2.541	     14
  3.011	      2
  3.846	      3
  2.444	      5
  2.192	      9
  3.320	      1
  2.512	     13
  2.372	     10
  3.251	      8
  1.591	      9
  1.856	      9
  3.888	     14
