  7.551	      4
  9.161	     14
  6.701	      7
  9.874	     10
  9.413	      8
  7.479	      2
  7.211	      2
  8.450	      1
  7.627	      3
  9.220	      2
  7.949	      9
  9.070	     15
  6.813	     14
  9.008	     14
  7.429	      3
  7.091	      5
  5.486	      3
  9.304	     14
  8.680	      6
  8.021	     11
  8.357	     13
  7.221	      3
  7.095	      8
  6.780	     14
  8.824	     13
  9.877	     15
  7.547	     11
  7.266	     15
  7.233	      8
  8.328	     15
  7.265	     13
  7.965	      3
  8.376	      6
  7.084	     11
  8.244	     11
  7.835	      9
  8.470	     11
  6.396	      5
  6.858	      3
  7.550	      8
  7.833	     11
  6.347	      4
  8.228	     14
  8.229	      9
  9.705	      7
  7.556	     14
  8.817	      1
 10.134	      1
  7.998	      6
  9.725	      3
  7.179	      9
 10.211	      1
  9.923	     13
  7.305	     14
  7.292	     15
  8.876	      1
  9.680	     10
  7.970	      4
  7.640	      1
  8.266	     15
  6.888	     14
  7.237	      8
  8.770	      9
  7.948	      9
  7.864	      8
  9.347	      4
  6.658	     10
  8.648	      1
  8.636	      9
 10.394	      1
  6.373	      4
  7.532	      8
  8.176	      9
  5.476	     14
