  5.040	     11
  4.319	     10
  4.286	      2
  2.949	      9
  2.990	     10
  4.727	     12
  4.768	     15
  4.253	      2
  2.354	     13
  5.237	      7
  3.578	     14
  5.217	     12
  4.704	      6
  2.540	     14
  4.516	     11
  5.115	      8
  4.656	      3
  3.921	     14
  3.903	      1
  3.280	      3
  3.800	     14
  4.225	      6
  4.046	      9
  4.041	      5
  3.340	      3
  3.297	      5
  3.042	     12
  3.448	      3
  2.659	     10
  3.355	      8
  4.603	     10
  2.741	      9
  2.924	     13
  4.229	     13
  1.866	     15
  3.536	     10
  3.771	      2
  3.323	      8
  4.214	      1
  3.743	     10
  3.493	     13
  4.222	      2
  4.338	      9
  3.861	     15
  4.712	      3
  4.375	      9
  3.739	      6
  4.736	      5
  3.628	      9
  5.043	      8
  5.064	      5
  4.907	      1
  4.235	     12
  3.417	      4
  3.424	      2
  4.626	     11
  4.116	      7
  4.569	     14
  3.956	      8
  3.841	     13
  4.207	      6
  2.066	     10
  3.891	      1
  4.097	      3
  5.021	     14
  4.675	      5
  4.182	      3
  4.528	      5
  2.408	     12
  3.888	      3
