  5.409	      6
  5.824	      7
  8.351	      4
  6.659	      3
  5.931	      5
  7.308	     13
  7.408	      3
  5.392	      7
  5.538	      5
  5.388	      4
  6.233	      3
  6.430	      5
  5.698	     11
  7.996	      6
  7.395	      8
  5.807	      3
  6.435	      4
  5.119	     15
  4.451	     14
  7.262	      5
  4.446	      7
  8.053	      7
  5.923	     12
  5.949	     15
  5.495	      8
  6.583	      5
  4.093	     15
  8.192	     10
  6.826	      6
  6.689	     13
  6.651	      7
  6.881	      8
  6.058	     14
  6.049	      4
  5.150	      3
  7.074	      6
  3.666	      3
  5.367	     12
  7.403	      9
  5.099	      9
  6.293	      8
  6.159	      9
  4.879	      5
  6.786	     13
  5.144	      8
  9.170	     12
  5.581	      5
  6.366	     10
  6.638	      4
  4.594	      5
  3.932	     14
  7.192	     11
  8.003	      6
  7.871	      3
  5.558	      4
  8.002	     13
  7.025	      5
  5.946	      5
  5.486	     11
  4.478	     11
  8.007	      9
  7.930	     15
  5.282	     12
  3.722	      2
  5.311	     11
  4.399	      5
  8.532	      6
  6.660	      1
  6.262	      1
  5.405	      2
  6.584	     14
  7.265	      7
